No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,URL,Team,Season
7,Cam Whitmore,SF,6-7,232,"July 8, 2004",us US,1,Villanova,https://www.basketball-reference.com/teams/HOU/2025.html,HOU,2024-2025
32,Jeff Green,PF,6-8,235,"August 28, 1986",us US,16,Georgetown,https://www.basketball-reference.com/teams/HOU/2025.html,HOU,2024-2025
58,Jack McVeigh  (TW),PF,6-8,215,"June 27, 1996",au AU,0,Nebraska,https://www.basketball-reference.com/teams/HOU/2025.html,HOU,2024-2025
19,Jeenathan Williams  (TW),SG,6-5,205,"February 12, 1999",us US,2,Buffalo,https://www.basketball-reference.com/teams/HOU/2025.html,HOU,2024-2025
NA,N'Faly Dante  (TW),C,6-11,230,"October 19, 2001",ml ML,0,Oregon,https://www.basketball-reference.com/teams/HOU/2025.html,HOU,2024-2025
43,Pascal Siakam,PF,6-8,230,"April 2, 1994",cm CM,8,New Mexico State,https://www.basketball-reference.com/teams/IND/2025.html,IND,2024-2025
0,Tyrese Haliburton,PG,6-5,185,"February 29, 2000",us US,4,Iowa State,https://www.basketball-reference.com/teams/IND/2025.html,IND,2024-2025
0,Bennedict Mathurin,SG,6-6,210,"June 19, 2002",ca CA,2,Arizona,https://www.basketball-reference.com/teams/IND/2025.html,IND,2024-2025
5,Jarace Walker,PF,6-8,240,"September 4, 2003",us US,1,Houston,https://www.basketball-reference.com/teams/IND/2025.html,IND,2024-2025
9,T.J. McConnell,PG,6-1,190,"March 25, 1992",us US,9,"Duquesne, Arizona",https://www.basketball-reference.com/teams/IND/2025.html,IND,2024-2025
1,Obi Toppin,PF,6-9,220,"March 4, 1998",us US,4,Dayton,https://www.basketball-reference.com/teams/IND/2025.html,IND,2024-2025
33,Myles Turner,C,6-11,250,"March 24, 1996",us US,9,Texas,https://www.basketball-reference.com/teams/IND/2025.html,IND,2024-2025
12,Johnny Furphy,SG,6-8,200,"December 8, 2004",au AU,0,Kansas,https://www.basketball-reference.com/teams/IND/2025.html,IND,2024-2025
8,Enrique Freeman  (TW),PF,6-7,206,"July 29, 2000",us US,0,University of Akron,https://www.basketball-reference.com/teams/IND/2025.html,IND,2024-2025
2,Andrew Nembhard,SG,6-5,193,"January 16, 2000",ca CA,2,"Florida, Gonzaga",https://www.basketball-reference.com/teams/IND/2025.html,IND,2024-2025
29,Quenton Jackson  (TW),PG,6-5,175,"September 15, 1998",us US,2,Texas A&M,https://www.basketball-reference.com/teams/IND/2025.html,IND,2024-2025
26,Ben Sheppard,SG,6-6,190,"July 16, 2001",us US,1,Belmont,https://www.basketball-reference.com/teams/IND/2025.html,IND,2024-2025
23,Aaron Nesmith,SF,6-5,215,"October 16, 1999",us US,4,Vanderbilt,https://www.basketball-reference.com/teams/IND/2025.html,IND,2024-2025
22,Isaiah Jackson,C,6-10,206,"January 10, 2002",us US,3,Kentucky,https://www.basketball-reference.com/teams/IND/2025.html,IND,2024-2025
4,Tristen Newton  (TW),SG,6-5,190,"April 26, 2001",us US,0,"East Carolina University, UConn",https://www.basketball-reference.com/teams/IND/2025.html,IND,2024-2025
16,James Johnson,PF,6-7,240,"February 20, 1987",us US,15,Wake Forest,https://www.basketball-reference.com/teams/IND/2025.html,IND,2024-2025
3,Thomas Bryant,C,6-10,248,"July 31, 1997",us US,7,Indiana,https://www.basketball-reference.com/teams/IND/2025.html,IND,2024-2025
13,James Wiseman,C,7-0,240,"March 31, 2001",us US,3,Memphis,https://www.basketball-reference.com/teams/IND/2025.html,IND,2024-2025
40,Ivica Zubac,C,7-0,240,"March 18, 1997",ba BA,8,,https://www.basketball-reference.com/teams/LAC/2025.html,LAC,2024-2025
8,Kris Dunn,PG,6-3,205,"March 18, 1994",us US,8,Providence,https://www.basketball-reference.com/teams/LAC/2025.html,LAC,2024-2025
33,Nicolas Batum,PF,6-8,230,"December 14, 1988",fr FR,16,,https://www.basketball-reference.com/teams/LAC/2025.html,LAC,2024-2025
1,James Harden,PG,6-5,220,"August 26, 1989",us US,15,Arizona State,https://www.basketball-reference.com/teams/LAC/2025.html,LAC,2024-2025
7,Amir Coffey,SG,6-7,210,"June 17, 1997",us US,5,Minnesota,https://www.basketball-reference.com/teams/LAC/2025.html,LAC,2024-2025
55,Derrick Jones Jr.,SF,6-5,210,"February 15, 1997",us US,8,UNLV,https://www.basketball-reference.com/teams/LAC/2025.html,LAC,2024-2025
77,Kevin Porter Jr.,SG,6-4,203,"May 4, 2000",us US,4,USC,https://www.basketball-reference.com/teams/LAC/2025.html,LAC,2024-2025
14,Terance Mann,SG,6-5,215,"October 18, 1996",us US,5,Florida State,https://www.basketball-reference.com/teams/LAC/2025.html,LAC,2024-2025
24,Norman Powell,SG,6-3,215,"May 25, 1993",us US,9,UCLA,https://www.basketball-reference.com/teams/LAC/2025.html,LAC,2024-2025
23,Kai Jones  (TW),C,6-11,218,"January 19, 2001",bs BS,2,Texas,https://www.basketball-reference.com/teams/LAC/2025.html,LAC,2024-2025
4,Mo Bamba,C,7-0,231,"May 12, 1998",us US,6,Texas,https://www.basketball-reference.com/teams/LAC/2025.html,LAC,2024-2025
5,Bones Hyland,PG,6-2,173,"September 14, 2000",us US,3,VCU,https://www.basketball-reference.com/teams/LAC/2025.html,LAC,2024-2025
21,Kobe Brown,PF,6-7,250,"January 1, 2000",us US,1,Missouri,https://www.basketball-reference.com/teams/LAC/2025.html,LAC,2024-2025
9,Trentyn Flowers  (TW),SF,6-7,185,"March 8, 2005",us US,0,,https://www.basketball-reference.com/teams/LAC/2025.html,LAC,2024-2025
12,Cam Christie,SG,6-5,190,"July 24, 2005",us US,0,Minnesota,https://www.basketball-reference.com/teams/LAC/2025.html,LAC,2024-2025
NA,Kawhi Leonard,SF,6-7,225,"June 29, 1991",us US,12,San Diego State,https://www.basketball-reference.com/teams/LAC/2025.html,LAC,2024-2025
NA,P.J. Tucker,SF,6-5,245,"May 5, 1985",us US,13,Texas,https://www.basketball-reference.com/teams/LAC/2025.html,LAC,2024-2025
4,Dalton Knecht,SF,6-6,215,"April 19, 2001",us US,0,"Northeastern Junior College, University of Northern Colorado, Tennessee",https://www.basketball-reference.com/teams/LAL/2025.html,LAL,2024-2025
7,Gabe Vincent,PG,6-3,195,"June 14, 1996",us US,5,UC Santa Barbara,https://www.basketball-reference.com/teams/LAL/2025.html,LAL,2024-2025
3,Anthony Davis,C,6-10,253,"March 11, 1993",us US,12,Kentucky,https://www.basketball-reference.com/teams/LAL/2025.html,LAL,2024-2025
1,D'Angelo Russell,PG,6-3,193,"February 23, 1996",us US,9,Ohio State,https://www.basketball-reference.com/teams/LAL/2025.html,LAL,2024-2025
12,Max Christie,SG,6-6,190,"February 10, 2003",us US,2,Michigan State,https://www.basketball-reference.com/teams/LAL/2025.html,LAL,2024-2025
23,LeBron James,SF,6-9,250,"December 30, 1984",us US,21,,https://www.basketball-reference.com/teams/LAL/2025.html,LAL,2024-2025
15,Austin Reaves,SG,6-5,206,"May 29, 1998",us US,3,"Wichita State, Oklahoma",https://www.basketball-reference.com/teams/LAL/2025.html,LAL,2024-2025
28,Rui Hachimura,PF,6-8,230,"February 8, 1998",jp JP,5,Gonzaga,https://www.basketball-reference.com/teams/LAL/2025.html,LAL,2024-2025
5,Cam Reddish,SF,6-8,218,"September 1, 1999",us US,5,Duke,https://www.basketball-reference.com/teams/LAL/2025.html,LAL,2024-2025
10,Christian Koloko  (TW),C,7-1,230,"June 20, 2000",cm CM,1,Arizona,https://www.basketball-reference.com/teams/LAL/2025.html,LAL,2024-2025
11,Jaxson Hayes,C,7-0,220,"May 23, 2000",us US,5,Texas,https://www.basketball-reference.com/teams/LAL/2025.html,LAL,2024-2025
94,Armel Traoré  (TW),SF,6-8,215,"January 23, 2003",fr FR,0,,https://www.basketball-reference.com/teams/LAL/2025.html,LAL,2024-2025
9,Bronny James,SG,6-2,210,"October 6, 2004",us US,0,USC,https://www.basketball-reference.com/teams/LAL/2025.html,LAL,2024-2025
20,Maxwell Lewis,SF,6-7,195,"July 27, 2002",us US,1,Pepperdine,https://www.basketball-reference.com/teams/LAL/2025.html,LAL,2024-2025
0,Jalen Hood-Schifino,SG,6-6,215,"June 19, 2003",us US,1,Indiana,https://www.basketball-reference.com/teams/LAL/2025.html,LAL,2024-2025
41,Quincy Olivari  (TW),PG,6-3,198,"May 27, 2001",us US,0,"Rice University, Xavier",https://www.basketball-reference.com/teams/LAL/2025.html,LAL,2024-2025
NA,Jarred Vanderbilt,PF,6-8,214,"April 3, 1999",us US,6,Kentucky,https://www.basketball-reference.com/teams/LAL/2025.html,LAL,2024-2025
NA,Christian Wood,C,6-8,214,"September 27, 1995",us US,8,UNLV,https://www.basketball-reference.com/teams/LAL/2025.html,LAL,2024-2025
7,Santi Aldama,PF,6-11,224,"January 10, 2001",es ES,3,Loyola (MD),https://www.basketball-reference.com/teams/MEM/2025.html,MEM,2024-2025
0,Jaylen Wells,SG,6-7,206,"August 26, 2003",us US,0,"Sonoma State University, Washington State",https://www.basketball-reference.com/teams/MEM/2025.html,MEM,2024-2025
1,Scotty Pippen Jr.,PG,6-1,185,"November 10, 2000",us US,2,Vanderbilt,https://www.basketball-reference.com/teams/MEM/2025.html,MEM,2024-2025
3,Jake LaRavia,PF,6-8,235,"November 3, 2001",us US,2,"Indiana State University, Wake Forest",https://www.basketball-reference.com/teams/MEM/2025.html,MEM,2024-2025
15,Brandon Clarke,PF,6-8,215,"September 19, 1996",ca CA,5,"San Jose State, Gonzaga",https://www.basketball-reference.com/teams/MEM/2025.html,MEM,2024-2025
13,Jaren Jackson Jr.,C,6-10,242,"September 15, 1999",us US,6,Michigan State,https://www.basketball-reference.com/teams/MEM/2025.html,MEM,2024-2025
30,Jay Huff,C,7-1,240,"August 25, 1998",us US,3,Virginia,https://www.basketball-reference.com/teams/MEM/2025.html,MEM,2024-2025
22,Desmond Bane,SG,6-5,215,"June 25, 1998",us US,4,TCU,https://www.basketball-reference.com/teams/MEM/2025.html,MEM,2024-2025
36,Marcus Smart,PG,6-3,220,"March 6, 1994",us US,10,Oklahoma State,https://www.basketball-reference.com/teams/MEM/2025.html,MEM,2024-2025
12,Ja Morant,PG,6-2,174,"August 10, 1999",us US,5,Murray State,https://www.basketball-reference.com/teams/MEM/2025.html,MEM,2024-2025
14,Zach Edey,C,7-4,305,"May 14, 2002",ca CA,0,Purdue,https://www.basketball-reference.com/teams/MEM/2025.html,MEM,2024-2025
10,Luke Kennard,SG,6-5,206,"June 24, 1996",us US,7,Duke,https://www.basketball-reference.com/teams/MEM/2025.html,MEM,2024-2025
46,John Konchar,SG,6-5,210,"March 22, 1996",us US,5,Purdue-Fort Wayne,https://www.basketball-reference.com/teams/MEM/2025.html,MEM,2024-2025
17,Yuki Kawamura  (TW),PG,5-8,159,"May 2, 2001",jp JP,0,,https://www.basketball-reference.com/teams/MEM/2025.html,MEM,2024-2025
8,Colin Castleton  (TW),C,6-11,250,"May 25, 2000",us US,1,"Michigan, Florida",https://www.basketball-reference.com/teams/MEM/2025.html,MEM,2024-2025
24,Cam Spencer  (TW),SG,6-3,205,"April 6, 2000",us US,0,"Loyola (MD), Rutgers University, UConn",https://www.basketball-reference.com/teams/MEM/2025.html,MEM,2024-2025
5,Vince Williams Jr.,SG,6-4,205,"August 30, 2000",us US,2,VCU,https://www.basketball-reference.com/teams/MEM/2025.html,MEM,2024-2025
NA,GG Jackson II,PF,6-9,215,"December 17, 2004",us US,1,South Carolina,https://www.basketball-reference.com/teams/MEM/2025.html,MEM,2024-2025
14,Tyler Herro,SG,6-5,195,"January 20, 2000",us US,5,Kentucky,https://www.basketball-reference.com/teams/MIA/2025.html,MIA,2024-2025
13,Bam Adebayo,C,6-9,255,"July 18, 1997",us US,7,Kentucky,https://www.basketball-reference.com/teams/MIA/2025.html,MIA,2024-2025
55,Duncan Robinson,SF,6-7,215,"April 22, 1994",us US,6,"Williams, Michigan",https://www.basketball-reference.com/teams/MIA/2025.html,MIA,2024-2025
2,Terry Rozier,PG,6-1,190,"March 17, 1994",us US,9,Louisville,https://www.basketball-reference.com/teams/MIA/2025.html,MIA,2024-2025
24,Haywood Highsmith,SF,6-7,220,"December 9, 1996",us US,4,Wheeling University,https://www.basketball-reference.com/teams/MIA/2025.html,MIA,2024-2025
11,Jaime Jaquez Jr.,SF,6-6,225,"February 18, 2001",us US,1,UCLA,https://www.basketball-reference.com/teams/MIA/2025.html,MIA,2024-2025
22,Jimmy Butler,PF,6-7,230,"September 14, 1989",us US,13,"Tyler Junior College, Marquette",https://www.basketball-reference.com/teams/MIA/2025.html,MIA,2024-2025
5,Nikola Jović,PF,6-10,209,"June 9, 2003",gb GB,2,,https://www.basketball-reference.com/teams/MIA/2025.html,MIA,2024-2025
9,Pelle Larsson,SG,6-5,215,"February 23, 2001",se SE,0,"Utah, Arizona",https://www.basketball-reference.com/teams/MIA/2025.html,MIA,2024-2025
42,Kevin Love,PF,6-8,251,"September 7, 1988",us US,16,UCLA,https://www.basketball-reference.com/teams/MIA/2025.html,MIA,2024-2025
12,Dru Smith  (TW),SG,6-3,203,"December 30, 1997",us US,2,"University of Evansville, Missouri",https://www.basketball-reference.com/teams/MIA/2025.html,MIA,2024-2025
18,Alec Burks,SG,6-6,214,"July 20, 1991",us US,13,Colorado,https://www.basketball-reference.com/teams/MIA/2025.html,MIA,2024-2025
7,Kel'el Ware,C,7-0,230,"April 20, 2004",us US,0,"Oregon, Indiana",https://www.basketball-reference.com/teams/MIA/2025.html,MIA,2024-2025
0,Josh Richardson,SG,6-5,200,"September 15, 1993",us US,9,Tennessee,https://www.basketball-reference.com/teams/MIA/2025.html,MIA,2024-2025
16,Keshad Johnson  (TW),SF,6-6,225,"June 23, 2001",us US,0,"San Diego State, Arizona",https://www.basketball-reference.com/teams/MIA/2025.html,MIA,2024-2025
NA,Josh Christopher  (TW),SG,6-5,215,"December 8, 2001",us US,2,Arizona State,https://www.basketball-reference.com/teams/MIA/2025.html,MIA,2024-2025
11,Brook Lopez,C,7-1,282,"April 1, 1988",us US,16,Stanford,https://www.basketball-reference.com/teams/MIL/2025.html,MIL,2024-2025
12,Taurean Prince,SF,6-6,218,"March 22, 1994",us US,8,Baylor,https://www.basketball-reference.com/teams/MIL/2025.html,MIL,2024-2025
9,Bobby Portis,PF,6-10,250,"February 10, 1995",us US,9,Arkansas,https://www.basketball-reference.com/teams/MIL/2025.html,MIL,2024-2025
20,A.J. Green,SG,6-4,200,"September 27, 1999",us US,2,University of Northern Iowa,https://www.basketball-reference.com/teams/MIL/2025.html,MIL,2024-2025
44,Andre Jackson Jr.,SG,6-6,210,"November 13, 2001",us US,1,UConn,https://www.basketball-reference.com/teams/MIL/2025.html,MIL,2024-2025
5,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us US,6,Duke,https://www.basketball-reference.com/teams/MIL/2025.html,MIL,2024-2025
34,Giannis Antetokounmpo,PF,6-11,242,"December 6, 1994",gr GR,11,,https://www.basketball-reference.com/teams/MIL/2025.html,MIL,2024-2025
0,Damian Lillard,PG,6-2,195,"July 15, 1990",us US,12,Weber State,https://www.basketball-reference.com/teams/MIL/2025.html,MIL,2024-2025
55,Delon Wright,PG,6-5,185,"April 26, 1992",us US,9,Utah,https://www.basketball-reference.com/teams/MIL/2025.html,MIL,2024-2025
24,Pat Connaughton,SG,6-5,209,"January 6, 1993",us US,9,Notre Dame,https://www.basketball-reference.com/teams/MIL/2025.html,MIL,2024-2025
3,MarJon Beauchamp,SF,6-6,199,"October 12, 2000",us US,2,Yakima Valley Community College,https://www.basketball-reference.com/teams/MIL/2025.html,MIL,2024-2025
21,Tyler Smith,PF,6-11,224,"November 2, 2004",us US,0,,https://www.basketball-reference.com/teams/MIL/2025.html,MIL,2024-2025
17,Stanley Umude  (TW),SG,6-6,210,"April 12, 1999",us US,2,"South Dakota, Arkansas",https://www.basketball-reference.com/teams/MIL/2025.html,MIL,2024-2025
22,Khris Middleton,SF,6-7,222,"August 12, 1991",us US,12,Texas A&M,https://www.basketball-reference.com/teams/MIL/2025.html,MIL,2024-2025
15,Liam Robbins  (TW),C,7-0,250,"July 12, 1999",us US,0,"Drake University, Minnesota, Vanderbilt",https://www.basketball-reference.com/teams/MIL/2025.html,MIL,2024-2025
77,AJ Johnson,SG,6-4,160,"December 1, 2004",us US,0,,https://www.basketball-reference.com/teams/MIL/2025.html,MIL,2024-2025
7,Chris Livingston,SF,6-6,220,"October 15, 2003",us US,1,Kentucky,https://www.basketball-reference.com/teams/MIL/2025.html,MIL,2024-2025
5,Anthony Edwards,SG,6-4,225,"August 5, 2001",us US,4,Georgia,https://www.basketball-reference.com/teams/MIN/2025.html,MIN,2024-2025
30,Julius Randle,PF,6-9,250,"November 29, 1994",us US,10,Kentucky,https://www.basketball-reference.com/teams/MIN/2025.html,MIN,2024-2025
11,Naz Reid,C,6-9,264,"August 26, 1999",us US,5,LSU,https://www.basketball-reference.com/teams/MIN/2025.html,MIN,2024-2025
27,Rudy Gobert,C,7-1,258,"June 26, 1992",fr FR,11,,https://www.basketball-reference.com/teams/MIN/2025.html,MIN,2024-2025
3,Jaden McDaniels,PF,6-9,185,"September 29, 2000",us US,4,Washington,https://www.basketball-reference.com/teams/MIN/2025.html,MIN,2024-2025
9,Nickeil Alexander-Walker,SG,6-5,205,"September 2, 1998",ca CA,5,Virginia Tech,https://www.basketball-reference.com/teams/MIN/2025.html,MIN,2024-2025
0,Donte DiVincenzo,SG,6-4,203,"January 31, 1997",us US,6,Villanova,https://www.basketball-reference.com/teams/MIN/2025.html,MIN,2024-2025
10,Mike Conley,PG,6-0,175,"October 11, 1987",us US,17,Ohio State,https://www.basketball-reference.com/teams/MIN/2025.html,MIN,2024-2025
4,Rob Dillingham,PG,6-1,176,"January 4, 2005",us US,0,Kentucky,https://www.basketball-reference.com/teams/MIN/2025.html,MIN,2024-2025
8,Josh Minott,SF,6-8,205,"November 25, 2002",us US,2,Memphis,https://www.basketball-reference.com/teams/MIN/2025.html,MIN,2024-2025
55,Luka Garza,C,6-10,235,"December 27, 1998",us US,3,Iowa,https://www.basketball-reference.com/teams/MIN/2025.html,MIN,2024-2025
0,Terrence Shannon Jr.,SG,6-6,215,"July 30, 2000",us US,0,"Texas Tech, Illinois",https://www.basketball-reference.com/teams/MIN/2025.html,MIN,2024-2025
35,PJ Dozier,SG,6-6,205,"October 25, 1996",us US,6,South Carolina,https://www.basketball-reference.com/teams/MIN/2025.html,MIN,2024-2025
7,Joe Ingles,SF,6-8,220,"October 2, 1987",au AU,10,,https://www.basketball-reference.com/teams/MIN/2025.html,MIN,2024-2025
1,Daishen Nix  (TW),PG,6-5,224,"February 13, 2002",us US,3,,https://www.basketball-reference.com/teams/MIN/2025.html,MIN,2024-2025
NA,Leonard Miller,SF,6-10,210,"November 26, 2003",ca CA,1,,https://www.basketball-reference.com/teams/MIN/2025.html,MIN,2024-2025
NA,Jesse Edwards  (TW),C,6-11,230,"March 18, 2000",nl NL,0,"West Virginia, Syracuse",https://www.basketball-reference.com/teams/MIN/2025.html,MIN,2024-2025
21,Yves Missi,C,6-11,235,"May 14, 2004",be BE,0,Baylor,https://www.basketball-reference.com/teams/NOP/2025.html,NOP,2024-2025
4,Javonte Green,SG,6-4,205,"July 23, 1993",us US,5,Radford,https://www.basketball-reference.com/teams/NOP/2025.html,NOP,2024-2025
11,Brandon Boston Jr.  (TW),SG,6-7,185,"November 28, 2001",us US,3,Kentucky,https://www.basketball-reference.com/teams/NOP/2025.html,NOP,2024-2025
50,Jeremiah Robinson-Earl,PF,6-9,230,"November 3, 2000",us US,3,Villanova,https://www.basketball-reference.com/teams/NOP/2025.html,NOP,2024-2025
10,Daniel Theis,C,6-8,245,"April 4, 1992",de DE,7,,https://www.basketball-reference.com/teams/NOP/2025.html,NOP,2024-2025
14,Brandon Ingram,SF,6-8,190,"September 2, 1997",us US,8,Duke,https://www.basketball-reference.com/teams/NOP/2025.html,NOP,2024-2025
3,CJ McCollum,PG,6-3,190,"September 19, 1991",us US,11,Lehigh,https://www.basketball-reference.com/teams/NOP/2025.html,NOP,2024-2025
25,Trey Murphy III,SF,6-8,206,"June 18, 2000",us US,3,"Rice University, Virginia",https://www.basketball-reference.com/teams/NOP/2025.html,NOP,2024-2025
8,Jamal Cain  (TW),SF,6-7,191,"March 20, 1999",us US,2,"Marquette, Oakland",https://www.basketball-reference.com/teams/NOP/2025.html,NOP,2024-2025
55,Trey Jemison  (TW),C,6-11,260,"November 28, 1999",us US,1,"Clemson, UAB",https://www.basketball-reference.com/teams/NOP/2025.html,NOP,2024-2025
12,Antonio Reeves,SG,6-5,205,"November 20, 2000",us US,0,"Illinois State, Kentucky",https://www.basketball-reference.com/teams/NOP/2025.html,NOP,2024-2025
24,Jordan Hawkins,SG,6-5,195,"April 29, 2002",us US,1,UConn,https://www.basketball-reference.com/teams/NOP/2025.html,NOP,2024-2025
5,Dejounte Murray,PG,6-5,180,"September 19, 1996",us US,7,Washington,https://www.basketball-reference.com/teams/NOP/2025.html,NOP,2024-2025
2,Herbert Jones,SF,6-8,210,"October 6, 1998",us US,3,Alabama,https://www.basketball-reference.com/teams/NOP/2025.html,NOP,2024-2025
15,Jose Alvarado,PG,6-0,179,"April 12, 1998",us US,3,Georgia Tech,https://www.basketball-reference.com/teams/NOP/2025.html,NOP,2024-2025
1,Zion Williamson,PF,6-6,284,"July 6, 2000",us US,4,Duke,https://www.basketball-reference.com/teams/NOP/2025.html,NOP,2024-2025
17,Karlo Matković,PF,6-11,231,"March 30, 2001",ba BA,0,,https://www.basketball-reference.com/teams/NOP/2025.html,NOP,2024-2025
11,Jalen Brunson,PG,6-2,190,"August 31, 1996",us US,6,Villanova,https://www.basketball-reference.com/teams/NYK/2025.html,NYK,2024-2025
25,Mikal Bridges,SF,6-6,209,"August 30, 1996",us US,6,Villanova,https://www.basketball-reference.com/teams/NYK/2025.html,NYK,2024-2025
8,OG Anunoby,PF,6-7,232,"July 17, 1997",gb GB,7,Indiana,https://www.basketball-reference.com/teams/NYK/2025.html,NYK,2024-2025
3,Josh Hart,SG,6-4,215,"March 6, 1995",us US,7,Villanova,https://www.basketball-reference.com/teams/NYK/2025.html,NYK,2024-2025
32,Karl-Anthony Towns,C,7-0,248,"November 15, 1995",us US,9,Kentucky,https://www.basketball-reference.com/teams/NYK/2025.html,NYK,2024-2025
20,Jericho Sims,C,6-10,245,"October 20, 1998",us US,3,Texas,https://www.basketball-reference.com/teams/NYK/2025.html,NYK,2024-2025
2,Miles McBride,PG,6-2,200,"September 8, 2000",us US,3,West Virginia,https://www.basketball-reference.com/teams/NYK/2025.html,NYK,2024-2025
1,Cameron Payne,PG,6-3,183,"August 8, 1994",us US,9,Murray State,https://www.basketball-reference.com/teams/NYK/2025.html,NYK,2024-2025
13,Tyler Kolek,PG,6-1,195,"March 27, 2001",us US,0,"George Mason, Marquette",https://www.basketball-reference.com/teams/NYK/2025.html,NYK,2024-2025
55,Ariel Hukporti,C,7-0,246,"April 11, 2002",de DE,0,,https://www.basketball-reference.com/teams/NYK/2025.html,NYK,2024-2025
4,Pacome Dadiet,SG,6-7,210,"July 27, 2005",fr FR,0,,https://www.basketball-reference.com/teams/NYK/2025.html,NYK,2024-2025
37,Matt Ryan,SF,6-6,215,"April 17, 1997",us US,3,"Notre Dame, Vanderbilt, Chattanooga",https://www.basketball-reference.com/teams/NYK/2025.html,NYK,2024-2025
5,Precious Achiuwa,PF,6-8,225,"September 19, 1999",ng NG,4,Memphis,https://www.basketball-reference.com/teams/NYK/2025.html,NYK,2024-2025
0,Jacob Toppin  (TW),SF,6-9,205,"May 8, 2000",us US,1,"Rhode Island, Kentucky",https://www.basketball-reference.com/teams/NYK/2025.html,NYK,2024-2025
NA,Kevin McCullar Jr.  (TW),SF,6-6,210,"March 15, 2001",us US,0,"Texas Tech, Kansas",https://www.basketball-reference.com/teams/NYK/2025.html,NYK,2024-2025
NA,Boo Buie  (TW),G,6-2,180,"December 7, 1999",us US,0,Northwestern,https://www.basketball-reference.com/teams/NYK/2025.html,NYK,2024-2025
NA,Mitchell Robinson,C,7-0,240,"April 1, 1998",us US,6,Western Kentucky,https://www.basketball-reference.com/teams/NYK/2025.html,NYK,2024-2025
2,Shai Gilgeous-Alexander,PG,6-6,200,"July 12, 1998",ca CA,6,Kentucky,https://www.basketball-reference.com/teams/OKC/2025.html,OKC,2024-2025
8,Jalen Williams,SG,6-6,220,"April 14, 2001",us US,2,Santa Clara,https://www.basketball-reference.com/teams/OKC/2025.html,OKC,2024-2025
5,Luguentz Dort,SF,6-4,220,"April 19, 1999",ca CA,5,Arizona State,https://www.basketball-reference.com/teams/OKC/2025.html,OKC,2024-2025
21,Aaron Wiggins,SG,6-6,200,"January 2, 1999",us US,3,Maryland,https://www.basketball-reference.com/teams/OKC/2025.html,OKC,2024-2025
22,Cason Wallace,SG,6-4,205,"November 7, 2003",us US,1,Kentucky,https://www.basketball-reference.com/teams/OKC/2025.html,OKC,2024-2025
25,Ajay Mitchell  (TW),SG,6-5,200,"June 25, 2002",be BE,0,UC Santa Barbara,https://www.basketball-reference.com/teams/OKC/2025.html,OKC,2024-2025
11,Isaiah Joe,SG,6-5,181,"July 2, 1999",us US,4,Arkansas,https://www.basketball-reference.com/teams/OKC/2025.html,OKC,2024-2025
3,Dillon Jones,SF,6-5,240,"October 29, 2001",us US,0,Weber State,https://www.basketball-reference.com/teams/OKC/2025.html,OKC,2024-2025
9,Alex Caruso,SG,6-5,186,"February 28, 1994",us US,7,Texas A&M,https://www.basketball-reference.com/teams/OKC/2025.html,OKC,2024-2025
34,Kenrich Williams,PF,6-7,210,"December 2, 1994",us US,6,TCU,https://www.basketball-reference.com/teams/OKC/2025.html,OKC,2024-2025
13,Ousmane Dieng,PF,6-10,222,"May 21, 2003",fr FR,2,,https://www.basketball-reference.com/teams/OKC/2025.html,OKC,2024-2025
55,Isaiah Hartenstein,C,7-0,255,"May 5, 1998",us US,6,,https://www.basketball-reference.com/teams/OKC/2025.html,OKC,2024-2025
7,Chet Holmgren,C,7-1,213,"May 1, 2002",us US,1,Gonzaga,https://www.basketball-reference.com/teams/OKC/2025.html,OKC,2024-2025
15,Branden Carlson,C,7-0,220,"June 14, 1999",us US,0,Utah,https://www.basketball-reference.com/teams/OKC/2025.html,OKC,2024-2025
88,Alex Ducas  (TW),SG,6-6,222,"December 11, 2000",au AU,0,Saint Mary's University,https://www.basketball-reference.com/teams/OKC/2025.html,OKC,2024-2025
NA,Jaylin Williams,PF,6-8,250,"June 29, 2002",us US,2,Arkansas,https://www.basketball-reference.com/teams/OKC/2025.html,OKC,2024-2025
NA,Nikola Topić,PG,6-6,201,"August 10, 2005",rs RS,0,,https://www.basketball-reference.com/teams/OKC/2025.html,OKC,2024-2025
21,Moritz Wagner,C,6-11,245,"April 26, 1997",de DE,6,Michigan,https://www.basketball-reference.com/teams/ORL/2025.html,ORL,2024-2025
0,Anthony Black,PG,6-7,198,"January 20, 2004",us US,1,Arkansas,https://www.basketball-reference.com/teams/ORL/2025.html,ORL,2024-2025
3,Kentavious Caldwell-Pope,SG,6-5,204,"February 18, 1993",us US,11,Georgia,https://www.basketball-reference.com/teams/ORL/2025.html,ORL,2024-2025
4,Jalen Suggs,PG,6-5,205,"June 3, 2001",us US,3,Gonzaga,https://www.basketball-reference.com/teams/ORL/2025.html,ORL,2024-2025
13,Jett Howard,SF,6-8,215,"September 14, 2003",us US,1,Michigan,https://www.basketball-reference.com/teams/ORL/2025.html,ORL,2024-2025
50,Cole Anthony,PG,6-2,185,"May 15, 2000",us US,4,UNC,https://www.basketball-reference.com/teams/ORL/2025.html,ORL,2024-2025
