Team Name,Team Abbr.,G,W,L,W/L%,GB,PW,PL,League,Season,Conference,Conference Rank,Made Playoffs
Phoenix Mercury,PHO,22,13,9,0.591,5,13,9,WNBA,2020,Western,5,Yes
Dallas Wings,DAL,22,8,14,0.364,10,8,14,WNBA,2020,Western,6,No
Connecticut Sun,CON,32,26,6,0.813,0,28,4,WNBA,2021,Eastern,1,Yes
Chicago Sky,CHI,32,16,16,0.5,10,18,14,WNBA,2021,Eastern,2,Yes
New York Liberty,NYL,32,12,20,0.375,14,7,25,WNBA,2021,Eastern,3,Yes
Washington Mystics,WAS,32,12,20,0.375,14,11,21,WNBA,2021,Eastern,4,No
Atlanta Dream,ATL,32,8,24,0.25,18,9,23,WNBA,2021,Eastern,5,No
Indiana Fever,IND,32,6,26,0.188,20,5,27,WNBA,2021,Eastern,6,No
Las Vegas Aces,LVA,32,24,8,0.75,0,26,6,WNBA,2021,Western,1,Yes
Minnesota Lynx,MIN,32,22,10,0.688,2,21,11,WNBA,2021,Western,2,Yes
Seattle Storm,SEA,32,21,11,0.656,3,22,10,WNBA,2021,Western,3,Yes
Phoenix Mercury,PHO,32,19,13,0.594,5,19,13,WNBA,2021,Western,4,Yes
Dallas Wings,DAL,32,14,18,0.438,10,15,17,WNBA,2021,Western,5,Yes
Los Angeles Sparks,LAS,32,12,20,0.375,12,10,22,WNBA,2021,Western,6,No
Chicago Sky,CHI,36,26,10,0.722,0,25,11,WNBA,2022,Eastern,1,Yes
Connecticut Sun,CON,36,25,11,0.694,1,29,7,WNBA,2022,Eastern,2,Yes
Washington Mystics,WAS,36,22,14,0.611,4,25,11,WNBA,2022,Eastern,3,Yes
New York Liberty,NYL,36,16,20,0.444,10,14,22,WNBA,2022,Eastern,4,Yes
Atlanta Dream,ATL,36,14,22,0.389,12,13,23,WNBA,2022,Eastern,5,No
Indiana Fever,IND,36,5,31,0.139,21,5,31,WNBA,2022,Eastern,6,No
Las Vegas Aces,LVA,36,26,10,0.722,0,26,10,WNBA,2022,Western,1,Yes
Seattle Storm,SEA,36,22,14,0.611,4,24,12,WNBA,2022,Western,2,Yes
Dallas Wings,DAL,36,18,18,0.5,8,18,18,WNBA,2022,Western,3,Yes
Phoenix Mercury,PHO,36,15,21,0.417,11,14,22,WNBA,2022,Western,4,Yes
Minnesota Lynx,MIN,36,14,22,0.389,12,16,20,WNBA,2022,Western,5,No
Los Angeles Sparks,LAS,36,13,23,0.361,13,8,28,WNBA,2022,Western,6,No
New York Liberty,NYL,40,32,8,0.8,0,32,8,WNBA,2023,Eastern,1,Yes
Connecticut Sun,CON,40,27,13,0.675,5,26,14,WNBA,2023,Eastern,2,Yes
Atlanta Dream,ATL,40,19,21,0.475,13,18,22,WNBA,2023,Eastern,3,Yes
Washington Mystics,WAS,40,19,21,0.475,13,19,21,WNBA,2023,Eastern,4,Yes
Chicago Sky,CHI,40,18,22,0.45,14,17,23,WNBA,2023,Eastern,5,Yes
Indiana Fever,IND,40,13,27,0.325,19,13,27,WNBA,2023,Eastern,6,No
Las Vegas Aces,LVA,40,34,6,0.85,0,35,5,WNBA,2023,Western,1,Yes
Dallas Wings,DAL,40,22,18,0.55,12,25,15,WNBA,2023,Western,2,Yes
Minnesota Lynx,MIN,40,19,21,0.475,15,12,28,WNBA,2023,Western,3,Yes
Los Angeles Sparks,LAS,40,17,23,0.425,17,17,23,WNBA,2023,Western,4,No
Seattle Storm,SEA,40,11,29,0.275,23,11,29,WNBA,2023,Western,5,No
Phoenix Mercury,PHO,40,9,31,0.225,25,8,32,WNBA,2023,Western,6,No
New York Liberty,NYL,40,32,8,0.8,0,33,7,WNBA,2024,Eastern,1,Yes
Connecticut Sun,CON,40,28,12,0.7,4,31,9,WNBA,2024,Eastern,2,Yes
Indiana Fever,IND,40,20,20,0.5,12,16,24,WNBA,2024,Eastern,3,Yes
Atlanta Dream,ATL,40,15,25,0.375,17,15,25,WNBA,2024,Eastern,4,Yes
Washington Mystics,WAS,40,14,26,0.35,18,15,25,WNBA,2024,Eastern,5,No
Chicago Sky,CHI,40,13,27,0.325,19,12,28,WNBA,2024,Eastern,6,No
Minnesota Lynx,MIN,40,30,10,0.75,0,30,10,WNBA,2024,Western,1,Yes
Las Vegas Aces,LVA,40,27,13,0.675,3,29,11,WNBA,2024,Western,2,Yes
Seattle Storm,SEA,40,25,15,0.625,5,27,13,WNBA,2024,Western,3,Yes
Phoenix Mercury,PHO,40,19,21,0.475,11,15,25,WNBA,2024,Western,4,Yes
Dallas Wings,DAL,40,9,31,0.225,21,9,31,WNBA,2024,Western,5,No
Los Angeles Sparks,LAS,40,8,32,0.2,22,9,31,WNBA,2024,Western,6,No
